user_id,gender,date_of_birth,workclass,education_level,education_num,marital_status,occupation,relationship,capital_gain,capital_loss,hours_per_week,address,email,inquiry_purpose_code,institute_type,account_type,asset_class_cd,asset_code,portfolio_type,approved,approved_loan_amount
3b87da86-5bf6-4da1-9d93-242c59a16c64, Male,1/9/1961, Private, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband,0,0,40,"6333 Melissa Orchard
Alejandramouth, AZ 17140",carrkelly@yahoo.com,,NBF,189,,1,I,1,1684000
cca3860f-fc77-4543-b55d-0e15511198a0, Male,1/8/1967, Private, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband,0,0,40,"43114 Cabrera Junctions Suite 186
North Jesseport, MA 75537",harristiffany@yahoo.com,99,PVT,5,,1,R,1,317000
bc08501f-eade-43d9-9c3b-9cd74457ea7d, Male,1/7/1969, Private, HS-grad,9, Married-civ-spouse, Protective-serv, Husband,0,0,40,"25352 Garcia Ridge
Jessicaside, LA 77106",jameshenry@king.info,13,PVT,5,,1,R,1,1363000
1aabd327-09c5-406f-ba23-7c0162fcf2b1, Male,1/5/1979, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband,0,0,40,"130 Terrell Landing
Annemouth, VT 56232",ryan21@whitaker.net,14,HFC,58,,2,M,1,1154000
422898cc-0745-4305-8e2e-74829a29167f, Male,1/10/1958, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband,0,0,50,"914 Sherry Coves Suite 283
West Tammystad, NC 45168",mooremiranda@king.info,7,PVT,189,,1,I,1,700000
b1759d63-e7fd-461e-82fa-1bb42e4b6bc3, Male,1/1/1994, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband,0,0,40,"2772 Kristina Key
Charleschester, IL 91848",porterdavid@gmail.com,13,NBF,189,,1,I,1,1149000
8b4aa03e-e943-49a8-ae0f-c8c0103afe99, Male,1/8/1965, Local-gov, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband,0,1902,40,"31669 David Centers
Thompsonton, AZ 89795",jennifer67@hotmail.com,99,PVT,5,,1,R,1,1977000
2422fd4f-45fe-4061-9f4f-7341b069d86d, Male,1/3/1986, Local-gov, Bachelors,13, Married-civ-spouse, Protective-serv, Husband,0,0,40,"Unit 5371 Box 5352
DPO AE 26145",toddlyons@gmail.com,13,NBF,189,,1,I,1,1210000
b7dda691-5c84-426e-8c5b-17f1ee2348ee,MALE,1/6/1973, Federal-gov, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband,0,0,45,"44080 Lee Glen Suite 240
Lake Georgeshire, OR 58443",latasha30@martin.com,13,NBF,189,,1,I,1,711000
0389af93-15d6-48cd-9ed9-7c754f9d2805, Male,1/8/1968, Federal-gov, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband,0,0,40,"6584 Nicole View Apt. 863
Tristanberg, CO 10913",gjones@taylor.com,2,PVT,5,,1,R,1,701000
feec888d-9c2d-46cd-819a-8ac8cc3f1ab9, Female,1/5/1979, Private, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Wife,0,0,50,"2609 Reid Ridge Suite 415
New Jeffrey, MA 71080",donaldduke@gmail.com,13,NBF,5,,1,R,1,944000
e49ff2be-1e1c-4c39-b919-e80f93fdef08, Male,1/7/1971, Local-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband,0,0,40,"4846 Stephanie Light
Thomasberg, WI 30892",joe37@hess.biz,13,PVT,5,,1,R,1,1321000
ebd85ddf-d29b-4382-8a49-245708eddd16, Male,1/9/1961, Private, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband,0,0,40,"45495 Hill Village Suite 173
North Ronald, MS 92288",bradleypark@anderson-campbell.org,13,NBF,999,,1,I,1,1103000
59389fc5-caba-4f7f-8685-e6e781e07cfb, Male,1/8/1968, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband,0,1902,65,"378 Rachel Prairie Suite 596
Lake Jennifer, WV 55576",rallen@yahoo.com,99,PVT,5,,1,R,1,1601000
95cd8866-522d-4de8-9dcd-9e5c3de5078c, Male,1/5/1977, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband,0,0,40,"0851 Smith Pines Apt. 127
North Jonathan, RI 65980",spencerwilliam@hotmail.com,7,PVT,173,,2,I,1,1433000
52ffbd2d-b964-4137-b413-e4d21e954e27, Female,1/7/1970, Self-emp-not-inc, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife,0,0,35,"3320 Brian Light Suite 349
Carterbury, AK 11352",aperry@gmail.com,16,NBF,173,,1,I,1,1782000
ab388f90-3841-4f4e-8902-ce59eb573adc, Female,1/3/1987, Private, 11th,7, Divorced, Exec-managerial, Unmarried,0,0,40,"9957 Tracy Fall Suite 783
Sarahville, WV 44398",rramos@day.com,13,PVT,5,,1,R,1,1797000
c253e07b-5f79-4bbe-83d0-bb28164cd935, Male,1/4/1983, Local-gov, Some-college,10, Married-civ-spouse, Tech-support, Husband,0,0,45,"PSC 9093, Box 0457
APO AA 96361",corey81@gmail.com,99,PVT,5,,1,R,1,1866000
4e54d59b-9d4c-406a-a941-1dd132514346, Male,1/4/1984, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband,0,0,40,"932 Burns Underpass Suite 637
Sarahmouth, FL 95923",wholmes@marshall.com,99,PVT,5,,1,R,1,555000
cb9cecdd-b80f-4ed9-ac50-2d6fddaa33bb, Male,1/8/1967, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband,0,0,40,"512 Penny Club
Rebeccaberg, MT 26022",stephanie44@gomez-cooper.com,99,PVT,5,,1,R,1,296000
918c3e66-6b9e-4662-95e9-eb8c7ce54112, Male,1/4/1983, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband,0,0,40,"3396 Evans Port Apt. 260
Lake Danny, NV 66096",matthewnichols@short.com,7,PVT,5,,1,R,1,1697000
27975b3c-3952-4687-84b2-9a0cbb35270a, Male,1/5/1979, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband,0,1887,50,"1655 Adams Crossroad Apt. 145
Michaelhaven, UT 80204",johnsonbrian@hotmail.com,99,NBF,5,,1,R,1,988000
c299b8d8-7e8d-4904-92f9-b8c1ad383c94, Male,1/6/1975, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband,0,0,55,"17892 Margaret Cove Suite 574
Port James, UT 87387",jasonwalton@yahoo.com,13,NBF,189,,1,I,1,1662000
98d640ab-ebfc-40b3-99b8-940deb3e943b, Male,1/5/1977, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband,0,0,40,"804 Cisneros Gardens Suite 543
Joshuaview, AZ 25288",acarter@sanchez.com,7,PVT,5,,1,R,1,1712000
cb5916bc-8596-40f2-8b12-23074577481d,M,1/4/1981, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband,0,0,50,"988 Travis Ville Suite 620
West Julieside, DC 52158",tparsons@brown.org,16,NBF,5,,1,R,1,1247000
c828816b-8b3f-41d2-8519-d9268fdb8ee3, Male,1/8/1966, Self-emp-not-inc, Bachelors, , Married-civ-spouse, Exec-managerial, Husband,0,0,40,"7345 Sarah Course
South Bryan, ME 52578",bianca51@yahoo.com,16,NBF,173,,1,I,1,101000
3b91e427-ff95-40a8-9076-dd547b56a6f7, Male,1/6/1976, Private, HS-grad,9, Married-civ-spouse, Sales, Husband,0,0,60,"1955 Bryan Trail
Port Jessicaberg, TX 86992",fswanson@fisher.info,13,PVT,123,S,1,I,1,340000
dae0110e-23a8-450f-9442-e13f07ea42d3, Male,1/5/1977, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband,0,0,92,"5655 Rebecca Cape Apt. 221
New Pennystad, KY 49938",brownisabel@hotmail.com,7,PVT,5,,1,R,1,688000
5c27843e-021c-4120-9ee5-680d477f4474, Female,1/4/1984, Private, Some-college,10, Married-spouse-absent, Prof-specialty, Not-in-family,0,0,40,"PSC 5521, Box 0429
APO AP 85877",bauerjohn@brown-baker.com,7,PVT,58,,2,M,1,133000
47f97153-cfbb-4694-9762-af8f4674479a, Male,1/3/1988, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband,0,0,40,"24636 Courtney Spur Suite 805
Justinburgh, KY 09825",xwilliams@yahoo.com,99,PVT,5,,1,R,1,197000
9b10cd9f-121c-4679-8dfa-b618661349ca, Female,1/4/1984, Self-emp-not-inc, Masters,14, Never-married, Prof-specialty, Not-in-family,0,0,60,"036 Paul Causeway Suite 613
Port Carriefurt, WA 40814",jeremylopez@kelly.com,14,PVT,189,,1,I,1,611000
cf1ee79e-2d3f-45bf-b67c-21a3dcf01f2f, Male,1/5/1978, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband,0,0,50,"PSC 2421, Box 3200
APO AE 04615",thomasclark@gmail.com,13,PVT,5,,1,R,1,1796000
c5e3d78c-a9ea-46bb-be84-b09b3f9fe3ca, Male,1/6/1976, Private, Bachelors,13, Divorced, Sales, Not-in-family,0,0,40,"273 Robert Station Apt. 957
North Matthewfort, IA 33650",daniel75@hotmail.com,99,PVT,5,,1,R,1,1307000
8c6e2457-9894-4cde-a08b-abb203b10e93, Male,1/3/1985, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband,0,0,40,"42375 Washington Lights Suite 475
North Jasminefort, DC 31468",mark75@carney.biz,7,PVT,189,,1,I,1,769000
6aa5beb1-581c-4c71-bdc2-be8667cb92dc, Male,1/2/1990, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband,,0,37,"Unit 3007 Box 0130
DPO AP 01713",marcusnorton@gmail.com,13,NBF,189,,1,I,1,144000
46911c43-c8fe-4ee5-94dc-cf6f33d3a0bf, Male,1/5/1978, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband,0,0,40,"97536 Villanueva Mountain Apt. 767
West Henrytown, IN 45183",martinerik@hotmail.com,99,PVT,5,,1,R,1,444000
aa1403cf-f668-4e71-b7e0-924f6c658751, Male,1/8/1967, Self-emp-inc, Assoc-acdm,12, Married-civ-spouse, Transport-moving, Husband,0,0,45,"3546 Cynthia Parks
Willisburgh, MO 67060",allenwallace@hotmail.com,13,PVT,5,,1,R,1,976000
606d7198-6341-49b5-aa8b-7f8c4aeeba8b, Male,1/5/1977, Local-gov, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband,0,0,40,"8612 Miller Lane Suite 526
Stevenstad, AZ 94654",nhorne@myers.com,16,NBF,5,,1,R,1,1947000
3de78f49-d32a-48ec-9125-23fdf58735cf, Female,1/1/1993, Private, Masters,14, Married-civ-spouse, Adm-clerical, Wife,0,0,20,"78405 Renee Well Suite 978
Garciaport, MA 78339",hernandezjustin@hammond-elliott.biz,13,NBF,5,,1,R,1,1722000
2c9533c3-d200-4381-9168-33a8a8c2af19, Male,1/3/1985, Private, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband,0,0,50,"22064 Miller Point
North Robert, MI 55331",barrydiana@eaton-miller.com,99,PVT,5,,1,R,1,1931000
a061443b-afe2-4973-8c5b-5ebe9f5b6c55, Male,1/4/1983, Local-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband,0,0,40,"USS Hale
FPO AP 71876",jameshendricks@gmail.com,13,PVT,47,S,1,I,1,936000
176f6e9e-1a4a-4a8e-8098-3627e380b134, Male,1/6/1975, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Craft-repair, Husband,0,0,40,"139 Diane Alley
Sextontown, WY 90506",wheelercurtis@gmail.com,14,PVT,5,,1,R,1,838000
45585dea-52ef-4b68-afd7-95168c87b7c0, Male,1/4/1983, Self-emp-inc, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband,0,0,60,"380 Solomon Street Apt. 289
North Nathan, NV 04526",coleangela@dodson.biz,16,PVT,5,,1,R,1,1597000
b2ea6596-0bf3-4297-b8cb-0bf29d864f6d, Male,1/5/1978, Private, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband,0,0,40,"46952 Tracy Garden Apt. 304
Brianville, DE 79704",agolden@gmail.com,7,PVT,5,,1,R,1,1180000
